timestamp,SI Transform,NDI Transform
2026-07-18 20:49:43.026695-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715611  0.51504174 -0.00392586 -0.09154   ]
 [-0.51297339  0.85297941 -0.09635571  0.01091   ]
 [-0.04627854  0.08460575  0.99533922 -2.19179   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.092910-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85694306  0.51540016 -0.00335671 -0.09154   ]
 [-0.51338023  0.85297079 -0.09424204  0.01091   ]
 [-0.04570919  0.08248333  0.99554366 -2.1918    ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.137176-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85716152  0.51503026 -0.00423657 -0.09155   ]
 [-0.51303963  0.8530651  -0.095238    0.01091   ]
 [-0.04543638  0.08380788  0.99544552 -2.1918    ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.203386-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85706365  0.51519261 -0.00429904 -0.09155   ]
 [-0.51319781  0.85294886 -0.09542668  0.0109    ]
 [-0.04549626  0.08399299  0.99542718 -2.19182   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.318840-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85714332  0.51506751 -0.00328353 -0.09154   ]
 [-0.51287769  0.85287588 -0.09777118  0.01091   ]
 [-0.04755832  0.08548796  0.9952035  -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.372869-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85716153  0.51503052 -0.00420416 -0.09155   ]
 [-0.51300838  0.85301354 -0.09586609  0.01091   ]
 [-0.04578776  0.08432949  0.99538536 -2.19177   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.422648-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85716419  0.51502494 -0.00434332 -0.09155   ]
 [-0.51302578  0.85303055 -0.09562126  0.01091   ]
 [-0.04554235  0.08419135  0.99540831 -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.487789-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85716152  0.5150308  -0.00417175 -0.09155   ]
 [-0.51297691  0.85296165 -0.09649412  0.0109    ]
 [-0.0461391   0.08485106  0.99532481 -2.1918    ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.541866-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85707553  0.515168   -0.00484423 -0.09154   ]
 [-0.51319793  0.85289625 -0.09589507  0.0109    ]
 [-0.04527044  0.08467536  0.99537966 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.553930-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85707553  0.515168   -0.00484423 -0.09154   ]
 [-0.51319793  0.85289625 -0.09589507  0.0109    ]
 [-0.04527044  0.08467536  0.99537966 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.599337-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85717846  0.51499465 -0.00506007 -0.09155   ]
 [-0.51307431  0.85304661 -0.09521679  0.0109    ]
 [-0.04471966  0.08421397  0.9954437  -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
