frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
0,2026-07-23 14:36:05.535585-07:00,2026-07-23 14:36:05.544560-07:00,0 days 00:00:00.008975,"[[-0.54057986  0.79146351 -0.28523487 -0.08496   ]
 [-0.80836406 -0.58258366 -0.08452113  0.04256   ]
 [-0.23306856  0.1848832   0.95472365 -2.10414   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
1,2026-07-23 14:36:05.590943-07:00,2026-07-23 14:36:05.604934-07:00,0 days 00:00:00.013991,"[[-0.54059439  0.79141554 -0.28534043 -0.08495   ]
 [-0.80869383 -0.5823382  -0.08304522  0.04256   ]
 [-0.23188791  0.18585926  0.95482162 -2.10409   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
2,2026-07-23 14:36:05.619865-07:00,2026-07-23 14:36:05.604934-07:00,0 days 00:00:00.014931,"[[-0.54059439  0.79141554 -0.28534043 -0.08495   ]
 [-0.80869383 -0.5823382  -0.08304522  0.04256   ]
 [-0.23188791  0.18585926  0.95482162 -2.10409   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
3,2026-07-23 14:36:05.645797-07:00,,,,
4,2026-07-23 14:36:05.667737-07:00,2026-07-23 14:36:05.664746-07:00,0 days 00:00:00.002991,"[[-0.54010289  0.79135669 -0.28643229 -0.08495   ]
 [-0.8087628  -0.58218534 -0.08344429  0.04255   ]
 [-0.23279088  0.18658727  0.95445984 -2.10412   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.2965   0.02226  0.95477  0.01086]
 [-0.09359 -0.99424  0.05225  0.89731]
 [ 0.95044 -0.10485 -0.29271  0.28152]
 [ 0.       0.       0.       1.     ]]"
5,2026-07-23 14:36:05.697164-07:00,2026-07-23 14:36:05.710129-07:00,0 days 00:00:00.012965,"[[-0.54018171  0.79142953 -0.28608219 -0.08496   ]
 [-0.80849358 -0.58239731 -0.08456654  0.04256   ]
 [-0.23354196  0.18561432  0.95446607 -2.10411   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
6,2026-07-23 14:36:05.733069-07:00,,,,
7,2026-07-23 14:36:05.767976-07:00,2026-07-23 14:36:05.769970-07:00,0 days 00:00:00.001994,"[[-0.54028627  0.79131699 -0.28619604 -0.08497   ]
 [-0.80865437 -0.58232661 -0.08350948  0.04256   ]
 [-0.23274204  0.18631465  0.95452501 -2.1041    ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
8,2026-07-23 14:36:05.802392-07:00,,,,
9,2026-07-23 14:36:05.865224-07:00,2026-07-23 14:36:05.875196-07:00,0 days 00:00:00.009972,"[[-0.54048749  0.79156181 -0.28513713 -0.08495   ]
 [-0.80850883 -0.58241792 -0.08427831  0.04254   ]
 [-0.23278047  0.18498451  0.95477431 -2.10411   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.2965   0.02226  0.95477  0.01086]
 [-0.09359 -0.99424  0.05225  0.89731]
 [ 0.95044 -0.10485 -0.29271  0.28152]
 [ 0.       0.       0.       1.     ]]"
10,2026-07-23 14:36:05.891154-07:00,,,,
11,2026-07-23 14:36:05.921074-07:00,2026-07-23 14:36:05.935036-07:00,0 days 00:00:00.013962,"[[-0.54040176  0.79143531 -0.28565028 -0.08496   ]
 [-0.80852235 -0.58242437 -0.08410391  0.04255   ]
 [-0.23293249  0.18550474  0.95463629 -2.10409   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
12,2026-07-23 14:36:05.943015-07:00,2026-07-23 14:36:05.935036-07:00,0 days 00:00:00.007979,"[[-0.54040176  0.79143531 -0.28565028 -0.08496   ]
 [-0.80852235 -0.58242437 -0.08410391  0.04255   ]
 [-0.23293249  0.18550474  0.95463629 -2.10409   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
13,2026-07-23 14:36:05.968945-07:00,,,,
14,2026-07-23 14:36:05.998866-07:00,2026-07-23 14:36:05.994876-07:00,0 days 00:00:00.003990,"[[-0.54033183  0.79134625 -0.28602906 -0.08496   ]
 [-0.80867243 -0.58231425 -0.08342073  0.04256   ]
 [-0.23257348  0.18622894  0.95458282 -2.10412   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
15,2026-07-23 14:36:06.034278-07:00,2026-07-23 14:36:06.041257-07:00,0 days 00:00:00.006979,"[[-0.5402809   0.7913854  -0.28601694 -0.08496   ]
 [-0.80860464 -0.58234509 -0.08386133  0.04256   ]
 [-0.2329272   0.18596596  0.95454784 -2.10416   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
16,2026-07-23 14:36:06.071179-07:00,,,,
17,2026-07-23 14:36:06.100101-07:00,2026-07-23 14:36:06.100101-07:00,0 days 00:00:00,"[[-0.53983473  0.79119864 -0.28737291 -0.08496   ]
 [-0.80850994 -0.58237095 -0.08459167  0.04254   ]
 [-0.23428645  0.18667833  0.95407602 -2.10412   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29645  0.02226  0.95479  0.01086]
 [-0.09359 -0.99424  0.05224  0.89731]
 [ 0.95045 -0.10485 -0.29266  0.28152]
 [ 0.       0.       0.       1.     ]]"
18,2026-07-23 14:36:06.136634-07:00,,,,
19,2026-07-23 14:36:06.165588-07:00,2026-07-23 14:36:06.160602-07:00,0 days 00:00:00.004986,"[[-0.53961353  0.79134942 -0.28737317 -0.08496   ]
 [-0.80866218 -0.58215333 -0.08463436  0.04256   ]
 [-0.2342706   0.18671797  0.95407216 -2.1041    ]
 [ 0.          0.          0.          1.        ]]","[[ 0.29639  0.02233  0.9548   0.01086]
 [-0.09366 -0.99423  0.05232  0.89731]
 [ 0.95046 -0.10494 -0.29259  0.28152]
 [ 0.       0.       0.       1.     ]]"
20,2026-07-23 14:36:06.201459-07:00,,,,
21,2026-07-23 14:36:06.242349-07:00,,,,
