frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
0,2026-07-27 11:13:58.771024-07:00,,,,
1,2026-07-27 11:13:58.831864-07:00,,,,
2,2026-07-27 11:13:58.858791-07:00,,,,
3,2026-07-27 11:13:58.883723-07:00,,,,
4,2026-07-27 11:13:58.909654-07:00,,,,
5,2026-07-27 11:13:58.937593-07:00,,,,
6,2026-07-27 11:13:58.969540-07:00,,,,
7,2026-07-27 11:13:59.002438-07:00,,,,
8,2026-07-27 11:13:59.036314-07:00,,,,
9,2026-07-27 11:13:59.070810-07:00,,,,
10,2026-07-27 11:13:59.103724-07:00,,,,
11,2026-07-27 11:13:59.135674-07:00,,,,
12,2026-07-27 11:13:59.167574-07:00,,,,
13,2026-07-27 11:13:59.202479-07:00,,,,
14,2026-07-27 11:13:59.237392-07:00,,,,
15,2026-07-27 11:13:59.270298-07:00,,,,
16,2026-07-27 11:13:59.306183-07:00,,,,
17,2026-07-27 11:13:59.338095-07:00,,,,
18,2026-07-27 11:13:59.371007-07:00,,,,
19,2026-07-27 11:13:59.403940-07:00,,,,
20,2026-07-27 11:13:59.436831-07:00,,,,
21,2026-07-27 11:13:59.470761-07:00,,,,
22,2026-07-27 11:13:59.505648-07:00,,,,
23,2026-07-27 11:13:59.539555-07:00,,,,
24,2026-07-27 11:13:59.568162-07:00,,,,
25,2026-07-27 11:13:59.603831-07:00,,,,
26,2026-07-27 11:13:59.637741-07:00,,,,
27,2026-07-27 11:13:59.670654-07:00,,,,
28,2026-07-27 11:13:59.703588-07:00,,,,
29,2026-07-27 11:13:59.738470-07:00,,,,
30,2026-07-27 11:13:59.770400-07:00,,,,
31,2026-07-27 11:13:59.803299-07:00,,,,
32,2026-07-27 11:13:59.837208-07:00,,,,
33,2026-07-27 11:13:59.872114-07:00,,,,
34,2026-07-27 11:13:59.906045-07:00,,,,
35,2026-07-27 11:13:59.938936-07:00,,,,
36,2026-07-27 11:13:59.967886-07:00,,,,
37,2026-07-27 11:14:00.004761-07:00,,,,
38,2026-07-27 11:14:00.038672-07:00,,,,
39,2026-07-27 11:14:00.070612-07:00,,,,
40,2026-07-27 11:14:00.104494-07:00,,,,
41,2026-07-27 11:14:00.188853-07:00,,,,
42,2026-07-27 11:14:00.214785-07:00,,,,
43,2026-07-27 11:14:00.239719-07:00,,,,
44,2026-07-27 11:14:00.273631-07:00,,,,
45,2026-07-27 11:14:00.304544-07:00,,,,
46,2026-07-27 11:14:00.337482-07:00,,,,
47,2026-07-27 11:14:00.371365-07:00,,,,
48,2026-07-27 11:14:00.400321-07:00,,,,
49,2026-07-27 11:14:00.436971-07:00,,,,
50,2026-07-27 11:14:00.469876-07:00,,,,
51,2026-07-27 11:14:00.503788-07:00,,,,
52,2026-07-27 11:14:00.537695-07:00,,,,
53,2026-07-27 11:14:00.571598-07:00,,,,
54,2026-07-27 11:14:00.604490-07:00,,,,
55,2026-07-27 11:14:00.641418-07:00,,,,
56,2026-07-27 11:14:00.671306-07:00,,,,
57,2026-07-27 11:14:00.705216-07:00,,,,
58,2026-07-27 11:14:00.737170-07:00,,,,
59,2026-07-27 11:14:00.771073-07:00,,,,
60,2026-07-27 11:14:00.800966-07:00,,,,
61,2026-07-27 11:14:00.837899-07:00,,,,
62,2026-07-27 11:14:00.871772-07:00,,,,
63,2026-07-27 11:14:00.904716-07:00,,,,
64,2026-07-27 11:14:00.937263-07:00,,,,
65,2026-07-27 11:14:00.971183-07:00,,,,
66,2026-07-27 11:14:01.004091-07:00,,,,
67,2026-07-27 11:14:01.038969-07:00,,,,
68,2026-07-27 11:14:01.071882-07:00,,,,
69,2026-07-27 11:14:01.105813-07:00,,,,
70,2026-07-27 11:14:01.137734-07:00,,,,
71,2026-07-27 11:14:01.171632-07:00,,,,
72,2026-07-27 11:14:01.257644-07:00,,,,
73,2026-07-27 11:14:01.282611-07:00,,,,
74,2026-07-27 11:14:01.308508-07:00,,,,
75,2026-07-27 11:14:01.341420-07:00,,,,
76,2026-07-27 11:14:01.373335-07:00,,,,
77,2026-07-27 11:14:01.409238-07:00,,,,
78,2026-07-27 11:14:01.439159-07:00,,,,
79,2026-07-27 11:14:01.474066-07:00,,,,
80,2026-07-27 11:14:01.504983-07:00,,,,
81,2026-07-27 11:14:01.538892-07:00,,,,
82,2026-07-27 11:14:01.571804-07:00,,,,
83,2026-07-27 11:14:01.606711-07:00,,,,
84,2026-07-27 11:14:01.637249-07:00,,,,
85,2026-07-27 11:14:01.671199-07:00,,,,
86,2026-07-27 11:14:01.705068-07:00,,,,
87,2026-07-27 11:14:01.738002-07:00,,,,
88,2026-07-27 11:14:01.776876-07:00,,,,
