frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
0,2026-07-28 15:11:18.498977-07:00,,,,
1,2026-07-28 15:11:18.558782-07:00,,,,
2,2026-07-28 15:11:18.584681-07:00,,,,
3,2026-07-28 15:11:18.609645-07:00,,,,
4,2026-07-28 15:11:18.642561-07:00,,,,
5,2026-07-28 15:11:18.675463-07:00,,,,
6,2026-07-28 15:11:18.714330-07:00,,,,
7,2026-07-28 15:11:18.743253-07:00,,,,
8,2026-07-28 15:11:18.775784-07:00,,,,
9,2026-07-28 15:11:18.808693-07:00,,,,
10,2026-07-28 15:11:18.851609-07:00,,,,
11,2026-07-28 15:11:18.882527-07:00,,,,
12,2026-07-28 15:11:18.908425-07:00,,,,
13,2026-07-28 15:11:18.945323-07:00,,,,
14,2026-07-28 15:11:18.977259-07:00,,,,
15,2026-07-28 15:11:19.011146-07:00,,,,
16,2026-07-28 15:11:19.043061-07:00,,,,
17,2026-07-28 15:11:19.081614-07:00,,,,
18,2026-07-28 15:11:19.110538-07:00,,,,
19,2026-07-28 15:11:19.144445-07:00,,,,
20,2026-07-28 15:11:19.176388-07:00,,,,
21,2026-07-28 15:11:19.209270-07:00,,,,
22,2026-07-28 15:11:19.245172-07:00,,,,
23,2026-07-28 15:11:19.277125-07:00,,,,
24,2026-07-28 15:11:19.308017-07:00,,,,
25,2026-07-28 15:11:19.342940-07:00,,,,
26,2026-07-28 15:11:19.376848-07:00,,,,
27,2026-07-28 15:11:19.409754-07:00,,,,
28,2026-07-28 15:11:19.442638-07:00,,,,
29,2026-07-28 15:11:19.477544-07:00,,,,
30,2026-07-28 15:11:19.510455-07:00,,,,
31,2026-07-28 15:11:19.543366-07:00,,,,
32,2026-07-28 15:11:19.578271-07:00,,,,
33,2026-07-28 15:11:19.615171-07:00,,,,
34,2026-07-28 15:11:19.650078-07:00,,,,
35,2026-07-28 15:11:19.684982-07:00,,,,
36,2026-07-28 15:11:19.708918-07:00,,,,
37,2026-07-28 15:11:19.743856-07:00,,,,
38,2026-07-28 15:11:19.777732-07:00,,,,
39,2026-07-28 15:11:19.811662-07:00,,,,
40,2026-07-28 15:11:19.847543-07:00,,,,
41,2026-07-28 15:11:19.937082-07:00,,,,
42,2026-07-28 15:11:19.962014-07:00,,,,
43,2026-07-28 15:11:19.985950-07:00,,,,
44,2026-07-28 15:11:20.009852-07:00,,,,
45,2026-07-28 15:11:20.042795-07:00,,,,
46,2026-07-28 15:11:20.077690-07:00,,,,
47,2026-07-28 15:11:20.110613-07:00,,,,
48,2026-07-28 15:11:20.140543-07:00,,,,
49,2026-07-28 15:11:20.182639-07:00,,,,
50,2026-07-28 15:11:20.212557-07:00,,,,
51,2026-07-28 15:11:20.244472-07:00,,,,
