frame_number,video_timestamp,matched_timestamp,time_difference
1277,2026-07-28 15:12:01.184545-07:00,2026-07-28 15:12:01.206456-07:00,0 days 00:00:00.021911
1548,2026-07-28 15:12:10.227210-07:00,2026-07-28 15:12:10.204300-07:00,0 days 00:00:00.022910
1640,2026-07-28 15:12:13.299412-07:00,2026-07-28 15:12:13.319358-07:00,0 days 00:00:00.019946
1750,2026-07-28 15:12:16.968142-07:00,2026-07-28 15:12:16.987090-07:00,0 days 00:00:00.018948
1824,2026-07-28 15:12:19.434715-07:00,2026-07-28 15:12:19.441696-07:00,0 days 00:00:00.006981
1898,2026-07-28 15:12:21.907708-07:00,2026-07-28 15:12:21.881778-07:00,0 days 00:00:00.025930
1984,2026-07-28 15:12:24.775325-07:00,2026-07-28 15:12:24.786302-07:00,0 days 00:00:00.010977
2097,2026-07-28 15:12:28.546534-07:00,2026-07-28 15:12:28.544539-07:00,0 days 00:00:00.001995
2204,2026-07-28 15:12:32.116000-07:00,2026-07-28 15:12:32.107050-07:00,0 days 00:00:00.008950
2322,2026-07-28 15:12:36.057944-07:00,2026-07-28 15:12:36.058909-07:00,0 days 00:00:00.000965
2414,2026-07-28 15:12:39.132211-07:00,2026-07-28 15:12:39.113262-07:00,0 days 00:00:00.018949
2489,2026-07-28 15:12:41.624682-07:00,2026-07-28 15:12:41.598752-07:00,0 days 00:00:00.025930
2690,2026-07-28 15:12:48.332897-07:00,2026-07-28 15:12:48.349852-07:00,0 days 00:00:00.016955
2834,2026-07-28 15:12:53.136441-07:00,2026-07-28 15:12:53.108550-07:00,0 days 00:00:00.027891
2992,2026-07-28 15:12:58.408856-07:00,2026-07-28 15:12:58.395891-07:00,0 days 00:00:00.012965
3144,2026-07-28 15:13:03.479761-07:00,2026-07-28 15:13:03.486774-07:00,0 days 00:00:00.007013
3270,2026-07-28 15:13:07.684086-07:00,2026-07-28 15:13:07.708025-07:00,0 days 00:00:00.023939
3480,2026-07-28 15:13:14.690360-07:00,2026-07-28 15:13:14.672408-07:00,0 days 00:00:00.017952
3647,2026-07-28 15:13:20.262278-07:00,2026-07-28 15:13:20.272253-07:00,0 days 00:00:00.009975
3734,2026-07-28 15:13:23.166334-07:00,2026-07-28 15:13:23.161368-07:00,0 days 00:00:00.004966
3909,2026-07-28 15:13:29.004862-07:00,2026-07-28 15:13:29.015833-07:00,0 days 00:00:00.010971
4005,2026-07-28 15:13:32.209122-07:00,2026-07-28 15:13:32.203138-07:00,0 days 00:00:00.005984
4106,2026-07-28 15:13:35.578468-07:00,2026-07-28 15:13:35.558501-07:00,0 days 00:00:00.019967
4177,2026-07-28 15:13:37.978197-07:00,2026-07-28 15:13:37.985178-07:00,0 days 00:00:00.006981
4365,2026-07-28 15:13:44.253457-07:00,2026-07-28 15:13:44.258455-07:00,0 days 00:00:00.004998
4459,2026-07-28 15:13:47.391249-07:00,2026-07-28 15:13:47.418209-07:00,0 days 00:00:00.026960
4620,2026-07-28 15:13:52.758116-07:00,2026-07-28 15:13:52.746149-07:00,0 days 00:00:00.011967
4799,2026-07-28 15:13:58.736430-07:00,2026-07-28 15:13:58.747401-07:00,0 days 00:00:00.010971
5053,2026-07-28 15:14:07.211620-07:00,2026-07-28 15:14:07.208601-07:00,0 days 00:00:00.003019
5976,2026-07-28 15:14:38.003290-07:00,2026-07-28 15:14:38.005285-07:00,0 days 00:00:00.001995
6369,2026-07-28 15:14:51.121307-07:00,2026-07-28 15:14:51.120310-07:00,0 days 00:00:00.000997
6413,2026-07-28 15:14:52.587563-07:00,2026-07-28 15:14:52.557645-07:00,0 days 00:00:00.029918
6693,2026-07-28 15:15:01.929349-07:00,2026-07-28 15:15:01.904426-07:00,0 days 00:00:00.024923
6794,2026-07-28 15:15:05.300184-07:00,2026-07-28 15:15:05.287236-07:00,0 days 00:00:00.012948
6948,2026-07-28 15:15:10.436224-07:00,2026-07-28 15:15:10.423258-07:00,0 days 00:00:00.012966
7125,2026-07-28 15:15:16.343722-07:00,2026-07-28 15:15:16.351731-07:00,0 days 00:00:00.008009
