frame_number,video_timestamp,matched_timestamp,time_difference
1260,2026-08-04 14:12:15.737989-07:00,2026-08-04 14:12:15.725023-07:00,0 days 00:00:00.012966
1370,2026-08-04 14:12:19.415832-07:00,2026-08-04 14:12:19.395885-07:00,0 days 00:00:00.019947
1546,2026-08-04 14:12:25.285008-07:00,2026-08-04 14:12:25.301961-07:00,0 days 00:00:00.016953
1619,2026-08-04 14:12:27.721747-07:00,2026-08-04 14:12:27.711744-07:00,0 days 00:00:00.010003
1729,2026-08-04 14:12:31.390592-07:00,2026-08-04 14:12:31.380618-07:00,0 days 00:00:00.009974
1888,2026-08-04 14:12:36.696196-07:00,2026-08-04 14:12:36.723124-07:00,0 days 00:00:00.026928
1976,2026-08-04 14:12:39.634542-07:00,2026-08-04 14:12:39.627560-07:00,0 days 00:00:00.006982
2157,2026-08-04 14:12:45.676554-07:00,2026-08-04 14:12:45.691514-07:00,0 days 00:00:00.014960
2296,2026-08-04 14:12:50.310968-07:00,2026-08-04 14:12:50.303986-07:00,0 days 00:00:00.006982
2397,2026-08-04 14:12:53.682194-07:00,2026-08-04 14:12:53.688206-07:00,0 days 00:00:00.006012
2458,2026-08-04 14:12:55.716098-07:00,2026-08-04 14:12:55.725074-07:00,0 days 00:00:00.008976
2507,2026-08-04 14:12:57.351376-07:00,2026-08-04 14:12:57.373317-07:00,0 days 00:00:00.021941
2669,2026-08-04 14:13:02.757825-07:00,2026-08-04 14:13:02.737878-07:00,0 days 00:00:00.019947
2788,2026-08-04 14:13:06.727925-07:00,2026-08-04 14:13:06.737899-07:00,0 days 00:00:00.009974
3118,2026-08-04 14:13:17.739147-07:00,2026-08-04 14:13:17.731169-07:00,0 days 00:00:00.007978
3277,2026-08-04 14:13:23.043607-07:00,2026-08-04 14:13:23.048626-07:00,0 days 00:00:00.005019
3582,2026-08-04 14:13:33.220480-07:00,2026-08-04 14:13:33.220479-07:00,0 days 00:00:00.000001
3695,2026-08-04 14:13:36.992036-07:00,2026-08-04 14:13:36.976571-07:00,0 days 00:00:00.015465
3838,2026-08-04 14:13:41.764092-07:00,2026-08-04 14:13:41.785052-07:00,0 days 00:00:00.020960
3982,2026-08-04 14:13:46.569121-07:00,2026-08-04 14:13:46.591034-07:00,0 days 00:00:00.021913
4080,2026-08-04 14:13:49.834108-07:00,2026-08-04 14:13:49.809176-07:00,0 days 00:00:00.024932
4251,2026-08-04 14:13:55.544152-07:00,2026-08-04 14:13:55.560081-07:00,0 days 00:00:00.015929
4309,2026-08-04 14:13:57.482651-07:00,2026-08-04 14:13:57.492624-07:00,0 days 00:00:00.009973
4413,2026-08-04 14:14:00.948881-07:00,2026-08-04 14:14:00.965858-07:00,0 days 00:00:00.016977
4526,2026-08-04 14:14:04.719164-07:00,2026-08-04 14:14:04.709189-07:00,0 days 00:00:00.009975
4682,2026-08-04 14:14:09.925947-07:00,2026-08-04 14:14:09.936918-07:00,0 days 00:00:00.010971
4819,2026-08-04 14:14:14.496853-07:00,2026-08-04 14:14:14.519299-07:00,0 days 00:00:00.022446
4951,2026-08-04 14:14:18.901565-07:00,2026-08-04 14:14:18.878627-07:00,0 days 00:00:00.022938
5241,2026-08-04 14:14:28.579999-07:00,2026-08-04 14:14:28.585982-07:00,0 days 00:00:00.005983
5321,2026-08-04 14:14:31.246842-07:00,2026-08-04 14:14:31.265790-07:00,0 days 00:00:00.018948
5470,2026-08-04 14:14:36.218742-07:00,2026-08-04 14:14:36.236694-07:00,0 days 00:00:00.017952
5577,2026-08-04 14:14:39.788103-07:00,2026-08-04 14:14:39.773142-07:00,0 days 00:00:00.014961
5776,2026-08-04 14:14:46.428847-07:00,2026-08-04 14:14:46.405909-07:00,0 days 00:00:00.022938
