frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform,SI with marker Transform
982,2026-08-04 14:12:06.472769-07:00,2026-08-04 14:12:06.470774-07:00,0 days 00:00:00.001995,"[[-0.8062488  -0.01217098 -0.59145139  0.23346   ]
 [ 0.20271992 -0.94493849 -0.25689663  0.00729   ]
 [-0.5557585  -0.32702158  0.76432282 -1.7771    ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
983,2026-08-04 14:12:06.505680-07:00,2026-08-04 14:12:06.515654-07:00,0 days 00:00:00.009974,"[[-0.80660451 -0.01239886 -0.59096145  0.23346   ]
 [ 0.20252747 -0.9450598  -0.25660203  0.0073    ]
 [-0.55531234 -0.32666228  0.7648006  -1.77714   ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
984,2026-08-04 14:12:06.533605-07:00,2026-08-04 14:12:06.515654-07:00,0 days 00:00:00.017951,"[[-0.80660451 -0.01239886 -0.59096145  0.23346   ]
 [ 0.20252747 -0.9450598  -0.25660203  0.0073    ]
 [-0.55531234 -0.32666228  0.7648006  -1.77714   ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
985,2026-08-04 14:12:06.567515-07:00,2026-08-04 14:12:06.575998-07:00,0 days 00:00:00.008483,"[[-0.80613223 -0.01220068 -0.59160965  0.23345   ]
 [ 0.20268376 -0.94500242 -0.25668993  0.00728   ]
 [-0.55594076 -0.3268357   0.76426978 -1.77712   ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
986,2026-08-04 14:12:06.599933-07:00,2026-08-04 14:12:06.575998-07:00,0 days 00:00:00.023935,"[[-0.80613223 -0.01220068 -0.59160965  0.23345   ]
 [ 0.20268376 -0.94500242 -0.25668993  0.00728   ]
 [-0.55594076 -0.3268357   0.76426978 -1.77712   ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
987,2026-08-04 14:12:06.636835-07:00,2026-08-04 14:12:06.635837-07:00,0 days 00:00:00.000998,"[[-0.8060277  -0.01210721 -0.59175397  0.23344   ]
 [ 0.20275739 -0.94494523 -0.25684226  0.00729   ]
 [-0.55606545 -0.32700447  0.76410686 -1.77708   ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
988,2026-08-04 14:12:06.666754-07:00,2026-08-04 14:12:06.695743-07:00,0 days 00:00:00.028989,"[[-0.80600699 -0.01229456 -0.59177832  0.23345   ]
 [ 0.20294255 -0.94492292 -0.25677809  0.0073    ]
 [-0.55602793 -0.32706194  0.76410957 -1.7771    ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
989,2026-08-04 14:12:06.699732-07:00,2026-08-04 14:12:06.695743-07:00,0 days 00:00:00.003989,"[[-0.80600699 -0.01229456 -0.59177832  0.23345   ]
 [ 0.20294255 -0.94492292 -0.25677809  0.0073    ]
 [-0.55602793 -0.32706194  0.76410957 -1.7771    ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
990,2026-08-04 14:12:06.734639-07:00,2026-08-04 14:12:06.755583-07:00,0 days 00:00:00.020944,"[[-0.8062488  -0.01217098 -0.59145139  0.23345   ]
 [ 0.20271992 -0.94493849 -0.25689663  0.00729   ]
 [-0.5557585  -0.32702158  0.76432282 -1.77711   ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
991,2026-08-04 14:12:06.766553-07:00,2026-08-04 14:12:06.755583-07:00,0 days 00:00:00.010970,"[[-0.8062488  -0.01217098 -0.59145139  0.23345   ]
 [ 0.20271992 -0.94493849 -0.25689663  0.00729   ]
 [-0.5557585  -0.32702158  0.76432282 -1.77711   ]
 [ 0.          0.          0.          1.        ]]","[[-0.67445 -0.03609  0.73744  0.16456]
 [-0.71748  0.2677  -0.64309  0.9779 ]
 [-0.1742  -0.96283 -0.20644  0.23869]
 [ 0.       0.       0.       1.     ]]","[[-0.67445    -0.03609     0.73744     0.17962313]
 [-0.71748     0.2677     -0.64309     0.97964837]
 [-0.1742     -0.96283    -0.20644     0.23861148]
 [ 0.          0.          0.          1.        ]]"
