frame_number,video_timestamp,matched_timestamp,time_difference
778,2026-08-26 15:14:35.296358-07:00,2026-08-26 15:14:35.321261-07:00,0 days 00:00:00.024903
828,2026-08-26 15:14:36.963589-07:00,2026-08-26 15:14:36.952616-07:00,0 days 00:00:00.010973
1061,2026-08-26 15:14:44.739233-07:00,2026-08-26 15:14:44.725266-07:00,0 days 00:00:00.013967
1223,2026-08-26 15:14:50.145846-07:00,2026-08-26 15:14:50.127896-07:00,0 days 00:00:00.017950
1372,2026-08-26 15:14:55.115568-07:00,2026-08-26 15:14:55.125562-07:00,0 days 00:00:00.009994
1588,2026-08-26 15:15:02.323993-07:00,2026-08-26 15:15:02.328010-07:00,0 days 00:00:00.004017
1724,2026-08-26 15:15:06.861329-07:00,2026-08-26 15:15:06.878285-07:00,0 days 00:00:00.016956
1954,2026-08-26 15:15:14.536150-07:00,2026-08-26 15:15:14.528169-07:00,0 days 00:00:00.007981
2109,2026-08-26 15:15:19.717762-07:00,2026-08-26 15:15:19.739703-07:00,0 days 00:00:00.021941
2362,2026-08-26 15:15:28.149439-07:00,2026-08-26 15:15:28.149440-07:00,0 days 00:00:00.000001
2541,2026-08-26 15:15:34.123059-07:00,2026-08-26 15:15:34.123059-07:00,0 days 00:00:00
2788,2026-08-26 15:15:42.365232-07:00,2026-08-26 15:15:42.358251-07:00,0 days 00:00:00.006981
2791,2026-08-26 15:15:42.464966-07:00,2026-08-26 15:15:42.462971-07:00,0 days 00:00:00.001995
2943,2026-08-26 15:15:47.535399-07:00,2026-08-26 15:15:47.525453-07:00,0 days 00:00:00.009946
3122,2026-08-26 15:15:53.509203-07:00,2026-08-26 15:15:53.488254-07:00,0 days 00:00:00.020949
3345,2026-08-26 15:16:00.950336-07:00,2026-08-26 15:16:00.959313-07:00,0 days 00:00:00.008977
3490,2026-08-26 15:16:05.786403-07:00,2026-08-26 15:16:05.795388-07:00,0 days 00:00:00.008985
3592,2026-08-26 15:16:09.191827-07:00,2026-08-26 15:16:09.195796-07:00,0 days 00:00:00.003969
3808,2026-08-26 15:16:16.399216-07:00,2026-08-26 15:16:16.414176-07:00,0 days 00:00:00.014960
3994,2026-08-26 15:16:22.604924-07:00,2026-08-26 15:16:22.613878-07:00,0 days 00:00:00.008954
4382,2026-08-26 15:16:35.551863-07:00,2026-08-26 15:16:35.569817-07:00,0 days 00:00:00.017954
4554,2026-08-26 15:16:41.292305-07:00,2026-08-26 15:16:41.274354-07:00,0 days 00:00:00.017951
4767,2026-08-26 15:16:48.399472-07:00,2026-08-26 15:16:48.418416-07:00,0 days 00:00:00.018944
4946,2026-08-26 15:16:54.372604-07:00,2026-08-26 15:16:54.376595-07:00,0 days 00:00:00.003991
5162,2026-08-26 15:17:01.578074-07:00,2026-08-26 15:17:01.563115-07:00,0 days 00:00:00.014959
5304,2026-08-26 15:17:06.317176-07:00,2026-08-26 15:17:06.339140-07:00,0 days 00:00:00.021964
5442,2026-08-26 15:17:10.921135-07:00,2026-08-26 15:17:10.904497-07:00,0 days 00:00:00.016638
