frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
0,2026-07-27 11:03:01.593935-07:00,,,,
1,2026-07-27 11:03:01.639806-07:00,,,,
2,2026-07-27 11:03:01.663720-07:00,,,,
3,2026-07-27 11:03:01.691677-07:00,,,,
4,2026-07-27 11:03:01.726741-07:00,,,,
5,2026-07-27 11:03:01.758652-07:00,,,,
6,2026-07-27 11:03:01.796493-07:00,,,,
7,2026-07-27 11:03:01.834890-07:00,,,,
8,2026-07-27 11:03:01.861816-07:00,,,,
9,2026-07-27 11:03:01.894756-07:00,,,,
10,2026-07-27 11:03:01.927640-07:00,,,,
11,2026-07-27 11:03:01.960580-07:00,,,,
12,2026-07-27 11:03:01.991469-07:00,,,,
13,2026-07-27 11:03:02.029405-07:00,,,,
14,2026-07-27 11:03:02.061304-07:00,,,,
15,2026-07-27 11:03:02.095192-07:00,,,,
16,2026-07-27 11:03:02.128114-07:00,,,,
17,2026-07-27 11:03:02.163011-07:00,,,,
18,2026-07-27 11:03:02.194926-07:00,,,,
19,2026-07-27 11:03:02.227865-07:00,,,,
20,2026-07-27 11:03:02.262371-07:00,,,,
21,2026-07-27 11:03:02.304826-07:00,,,,
22,2026-07-27 11:03:02.329765-07:00,,,,
23,2026-07-27 11:03:02.363697-07:00,,,,
24,2026-07-27 11:03:02.392592-07:00,,,,
25,2026-07-27 11:03:02.427519-07:00,,,,
26,2026-07-27 11:03:02.465397-07:00,,,,
27,2026-07-27 11:03:02.495338-07:00,,,,
28,2026-07-27 11:03:02.529918-07:00,,,,
29,2026-07-27 11:03:02.562856-07:00,,,,
30,2026-07-27 11:03:02.595769-07:00,,,,
31,2026-07-27 11:03:02.629650-07:00,,,,
32,2026-07-27 11:03:02.662590-07:00,,,,
33,2026-07-27 11:03:02.695474-07:00,,,,
34,2026-07-27 11:03:02.729383-07:00,,,,
35,2026-07-27 11:03:02.763292-07:00,,,,
36,2026-07-27 11:03:02.792563-07:00,,,,
37,2026-07-27 11:03:02.828490-07:00,,,,
38,2026-07-27 11:03:02.861407-07:00,,,,
39,2026-07-27 11:03:02.895321-07:00,,,,
40,2026-07-27 11:03:02.930219-07:00,,,,
41,2026-07-27 11:03:02.962110-07:00,,,,
42,2026-07-27 11:03:02.997045-07:00,,,,
43,2026-07-27 11:03:03.029950-07:00,,,,
44,2026-07-27 11:03:03.062841-07:00,,,,
45,2026-07-27 11:03:03.095753-07:00,,,,
46,2026-07-27 11:03:03.128700-07:00,,,,
47,2026-07-27 11:03:03.164569-07:00,,,,
48,2026-07-27 11:03:03.258388-07:00,,,,
49,2026-07-27 11:03:03.285288-07:00,,,,
50,2026-07-27 11:03:03.319224-07:00,,,,
51,2026-07-27 11:03:03.343133-07:00,,,,
