frame_number,video_timestamp,matched_timestamp,time_difference
526,2026-07-27 11:03:19.213338-07:00,2026-07-27 11:03:19.231255-07:00,0 days 00:00:00.017917
980,2026-07-27 11:03:34.365214-07:00,2026-07-27 11:03:34.379177-07:00,0 days 00:00:00.013963
1363,2026-07-27 11:03:47.143975-07:00,2026-07-27 11:03:47.123031-07:00,0 days 00:00:00.020944
1577,2026-07-27 11:03:54.281769-07:00,2026-07-27 11:03:54.308696-07:00,0 days 00:00:00.026927
1876,2026-07-27 11:04:04.259516-07:00,2026-07-27 11:04:04.280437-07:00,0 days 00:00:00.020921
1919,2026-07-27 11:04:05.695198-07:00,2026-07-27 11:04:05.687248-07:00,0 days 00:00:00.007950
2131,2026-07-27 11:04:12.767957-07:00,2026-07-27 11:04:12.787903-07:00,0 days 00:00:00.019946
2475,2026-07-27 11:04:24.249277-07:00,2026-07-27 11:04:24.271240-07:00,0 days 00:00:00.021963
2692,2026-07-27 11:04:31.491918-07:00,2026-07-27 11:04:31.518846-07:00,0 days 00:00:00.026928
2777,2026-07-27 11:04:34.324673-07:00,2026-07-27 11:04:34.318722-07:00,0 days 00:00:00.005951
2864,2026-07-27 11:04:37.224668-07:00,2026-07-27 11:04:37.240625-07:00,0 days 00:00:00.015957
3034,2026-07-27 11:04:42.900087-07:00,2026-07-27 11:04:42.929985-07:00,0 days 00:00:00.029898
3459,2026-07-27 11:04:57.081507-07:00,2026-07-27 11:04:57.099458-07:00,0 days 00:00:00.017951
3716,2026-07-27 11:05:05.657734-07:00,2026-07-27 11:05:05.650751-07:00,0 days 00:00:00.006983
4015,2026-07-27 11:05:15.630845-07:00,2026-07-27 11:05:15.639820-07:00,0 days 00:00:00.008975
4100,2026-07-27 11:05:18.468099-07:00,2026-07-27 11:05:18.456131-07:00,0 days 00:00:00.011968
4340,2026-07-27 11:05:26.477113-07:00,2026-07-27 11:05:26.471129-07:00,0 days 00:00:00.005984
4425,2026-07-27 11:05:29.314967-07:00,2026-07-27 11:05:29.301003-07:00,0 days 00:00:00.013964
4717,2026-07-27 11:05:39.057221-07:00,2026-07-27 11:05:39.031290-07:00,0 days 00:00:00.025931
4887,2026-07-27 11:05:44.730974-07:00,2026-07-27 11:05:44.754884-07:00,0 days 00:00:00.023910
4972,2026-07-27 11:05:47.564650-07:00,2026-07-27 11:05:47.540747-07:00,0 days 00:00:00.023903
5057,2026-07-27 11:05:50.411574-07:00,2026-07-27 11:05:50.430520-07:00,0 days 00:00:00.018946
5500,2026-07-27 11:06:05.184770-07:00,2026-07-27 11:06:05.202722-07:00,0 days 00:00:00.017952
5629,2026-07-27 11:06:09.486834-07:00,2026-07-27 11:06:09.499800-07:00,0 days 00:00:00.012966
5672,2026-07-27 11:06:10.923011-07:00,2026-07-27 11:06:10.936972-07:00,0 days 00:00:00.013961
5799,2026-07-27 11:06:15.164489-07:00,2026-07-27 11:06:15.161498-07:00,0 days 00:00:00.002991
6096,2026-07-27 11:06:25.068566-07:00,2026-07-27 11:06:25.064577-07:00,0 days 00:00:00.003989
6268,2026-07-27 11:06:30.809312-07:00,2026-07-27 11:06:30.800335-07:00,0 days 00:00:00.008977
6602,2026-07-27 11:06:41.956976-07:00,2026-07-27 11:06:41.963958-07:00,0 days 00:00:00.006982
6729,2026-07-27 11:06:46.194858-07:00,2026-07-27 11:06:46.169924-07:00,0 days 00:00:00.024934
6941,2026-07-27 11:06:53.267156-07:00,2026-07-27 11:06:53.295081-07:00,0 days 00:00:00.027925
7111,2026-07-27 11:06:58.938138-07:00,2026-07-27 11:06:58.956090-07:00,0 days 00:00:00.017952
7285,2026-07-27 11:07:04.746505-07:00,2026-07-27 11:07:04.751491-07:00,0 days 00:00:00.004986
