frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform,SI with marker Transform
511,2026-08-04 13:22:05.790581-07:00,2026-08-04 13:22:05.817206-07:00,0 days 00:00:00.026625,"[[ 0.88106811 -0.04574852  0.47077177  0.14115   ]
 [ 0.08487678  0.99444737 -0.06221217  0.16083   ]
 [-0.46531163  0.09477076  0.88005886 -1.90963   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
512,2026-08-04 13:22:05.820198-07:00,2026-08-04 13:22:05.817206-07:00,0 days 00:00:00.002992,"[[ 0.88106811 -0.04574852  0.47077177  0.14115   ]
 [ 0.08487678  0.99444737 -0.06221217  0.16083   ]
 [-0.46531163  0.09477076  0.88005886 -1.90963   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
513,2026-08-04 13:22:05.853109-07:00,2026-08-04 13:22:05.877044-07:00,0 days 00:00:00.023935,"[[ 0.88184091 -0.04577821  0.46931968  0.14115   ]
 [ 0.08487276  0.99443121 -0.06247553  0.16084   ]
 [-0.46384612  0.09492593  0.88081544 -1.90968   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
514,2026-08-04 13:22:05.887018-07:00,2026-08-04 13:22:05.877044-07:00,0 days 00:00:00.009974,"[[ 0.88184091 -0.04577821  0.46931968  0.14115   ]
 [ 0.08487276  0.99443121 -0.06247553  0.16084   ]
 [-0.46384612  0.09492593  0.88081544 -1.90968   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
515,2026-08-04 13:22:05.919986-07:00,2026-08-04 13:22:05.921981-07:00,0 days 00:00:00.001995,"[[ 0.88144452 -0.04583535  0.47005816  0.14115   ]
 [ 0.08518691  0.99438526 -0.06277849  0.16083   ]
 [-0.46454143  0.09537856  0.88040002 -1.90964   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
516,2026-08-04 13:22:05.951900-07:00,2026-08-04 13:22:05.921981-07:00,0 days 00:00:00.029919,"[[ 0.88144452 -0.04583535  0.47005816  0.14115   ]
 [ 0.08518691  0.99438526 -0.06277849  0.16083   ]
 [-0.46454143  0.09537856  0.88040002 -1.90964   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
517,2026-08-04 13:22:05.986807-07:00,2026-08-04 13:22:05.981820-07:00,0 days 00:00:00.004987,"[[ 0.8819413  -0.04574048  0.46913468  0.14114   ]
 [ 0.08453311  0.99449278 -0.06195376  0.16084   ]
 [-0.46371726  0.094297    0.88095084 -1.90965   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
518,2026-08-04 13:22:06.021221-07:00,2026-08-04 13:22:06.042165-07:00,0 days 00:00:00.020944,"[[ 0.88116971 -0.04566264  0.47058992  0.14115   ]
 [ 0.08458433  0.99449277 -0.06188399  0.16084   ]
 [-0.46517248  0.09433483  0.88017924 -1.90969   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
519,2026-08-04 13:22:06.053135-07:00,2026-08-04 13:22:06.042165-07:00,0 days 00:00:00.010970,"[[ 0.88116971 -0.04566264  0.47058992  0.14115   ]
 [ 0.08458433  0.99449277 -0.06188399  0.16084   ]
 [-0.46517248  0.09433483  0.88017924 -1.90969   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
520,2026-08-04 13:22:06.089039-07:00,2026-08-04 13:22:06.087044-07:00,0 days 00:00:00.001995,"[[ 0.88166849 -0.04575824  0.46964546  0.14115   ]
 [ 0.08449757  0.99450963 -0.06173132  0.16084   ]
 [-0.46424222  0.09411046  0.88069426 -1.90965   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.19608  0.06294  0.97857 -0.00279]
 [-0.22336 -0.96884  0.10707  0.89206]
 [ 0.95481 -0.23957 -0.17591  0.34489]
 [ 0.       0.       0.       1.     ]]","[[ 0.19608     0.06294     0.97857     0.00476039]
 [-0.22336    -0.96884     0.10707     0.895677  ]
 [ 0.95481    -0.23957    -0.17591     0.33224607]
 [ 0.          0.          0.          1.        ]]"
