frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform,SI with marker Transform
688,2026-08-24 12:31:48.883885-07:00,2026-08-24 12:31:48.905797-07:00,0 days 00:00:00.021912,"[[-0.88351959  0.03639974 -0.46697772  0.03451   ]
 [-0.25858561 -0.86918229  0.42149216 -0.39843   ]
 [-0.39054656  0.4931503   0.77735203 -1.69486   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
689,2026-08-24 12:31:48.915771-07:00,2026-08-24 12:31:48.905797-07:00,0 days 00:00:00.009974,"[[-0.88351959  0.03639974 -0.46697772  0.03451   ]
 [-0.25858561 -0.86918229  0.42149216 -0.39843   ]
 [-0.39054656  0.4931503   0.77735203 -1.69486   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
690,2026-08-24 12:31:48.950676-07:00,2026-08-24 12:31:48.955663-07:00,0 days 00:00:00.004987,"[[-0.88286729  0.03609205 -0.46823361  0.03449   ]
 [-0.25988702 -0.86800377  0.42311724 -0.39841   ]
 [-0.39115738  0.4952442   0.77571199 -1.69473   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
691,2026-08-24 12:31:48.983589-07:00,2026-08-24 12:31:48.955663-07:00,0 days 00:00:00.027926,"[[-0.88286729  0.03609205 -0.46823361  0.03449   ]
 [-0.25988702 -0.86800377  0.42311724 -0.39841   ]
 [-0.39115738  0.4952442   0.77571199 -1.69473   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
692,2026-08-24 12:31:49.021599-07:00,2026-08-24 12:31:49.015582-07:00,0 days 00:00:00.006017,"[[-0.88318978  0.03602059 -0.46763056  0.0345    ]
 [-0.25927635 -0.86834321  0.42279528 -0.39842   ]
 [-0.39083448  0.49465401  0.77625113 -1.69473   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
693,2026-08-24 12:31:49.052483-07:00,2026-08-24 12:31:49.075446-07:00,0 days 00:00:00.022963,"[[-0.88298311  0.03595536 -0.46802569  0.03449   ]
 [-0.25966628 -0.86802716  0.42320477 -0.39841   ]
 [-0.39104253  0.49521315  0.77578971 -1.69472   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
694,2026-08-24 12:31:49.083401-07:00,2026-08-24 12:31:49.075446-07:00,0 days 00:00:00.007955,"[[-0.88298311  0.03595536 -0.46802569  0.03449   ]
 [-0.25966628 -0.86802716  0.42320477 -0.39841   ]
 [-0.39104253  0.49521315  0.77578971 -1.69472   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
695,2026-08-24 12:31:49.118310-07:00,2026-08-24 12:31:49.121303-07:00,0 days 00:00:00.002993,"[[-0.88268915  0.0360385  -0.46857346  0.03449   ]
 [-0.25992793 -0.86810719  0.42287986 -0.39842   ]
 [-0.39153204  0.4950668   0.77563621 -1.69473   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
696,2026-08-24 12:31:49.146236-07:00,2026-08-24 12:31:49.121303-07:00,0 days 00:00:00.024933,"[[-0.88268915  0.0360385  -0.46857346  0.03449   ]
 [-0.25992793 -0.86810719  0.42287986 -0.39842   ]
 [-0.39153204  0.4950668   0.77563621 -1.69473   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
697,2026-08-24 12:31:49.184133-07:00,2026-08-24 12:31:49.180143-07:00,0 days 00:00:00.003990,"[[-0.88317157  0.03611292 -0.46765783  0.03449   ]
 [-0.25952617 -0.86813121  0.42307725 -0.39841   ]
 [-0.3907098   0.49501924  0.77608105 -1.69472   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.24037  0.34787  0.90621 -0.14905]
 [-0.24969 -0.88     0.40404  0.90183]
 [ 0.93802 -0.32339 -0.12467  0.43255]
 [ 0.       0.       0.       1.     ]]","[[ 0.24037     0.34787     0.90621    -0.14272812]
 [-0.24969    -0.88        0.40404     0.90871687]
 [ 0.93802    -0.32339    -0.12467     0.42060987]
 [ 0.          0.          0.          1.        ]]"
