frame_number,video_timestamp,matched_timestamp,time_difference
922,2026-08-24 12:31:56.694767-07:00,2026-08-24 12:31:56.708728-07:00,0 days 00:00:00.013961
1106,2026-08-24 12:32:02.831001-07:00,2026-08-24 12:32:02.832996-07:00,0 days 00:00:00.001995
1252,2026-08-24 12:32:07.707071-07:00,2026-08-24 12:32:07.730973-07:00,0 days 00:00:00.023902
1394,2026-08-24 12:32:12.440637-07:00,2026-08-24 12:32:12.415704-07:00,0 days 00:00:00.024933
1601,2026-08-24 12:32:19.352246-07:00,2026-08-24 12:32:19.365211-07:00,0 days 00:00:00.012965
1739,2026-08-24 12:32:23.955596-07:00,2026-08-24 12:32:23.933655-07:00,0 days 00:00:00.021941
1966,2026-08-24 12:32:31.527113-07:00,2026-08-24 12:32:31.556034-07:00,0 days 00:00:00.028921
2109,2026-08-24 12:32:36.300202-07:00,2026-08-24 12:32:36.318180-07:00,0 days 00:00:00.017978
2343,2026-08-24 12:32:44.140219-07:00,2026-08-24 12:32:44.149194-07:00,0 days 00:00:00.008975
2604,2026-08-24 12:32:52.844589-07:00,2026-08-24 12:32:52.850573-07:00,0 days 00:00:00.005984
2831,2026-08-24 12:33:00.426443-07:00,2026-08-24 12:33:00.442400-07:00,0 days 00:00:00.015957
3099,2026-08-24 12:33:09.368565-07:00,2026-08-24 12:33:09.348619-07:00,0 days 00:00:00.019946
3326,2026-08-24 12:33:16.940819-07:00,2026-08-24 12:33:16.929848-07:00,0 days 00:00:00.010971
3498,2026-08-24 12:33:22.678649-07:00,2026-08-24 12:33:22.669673-07:00,0 days 00:00:00.008976
3805,2026-08-24 12:33:32.921725-07:00,2026-08-24 12:33:32.926712-07:00,0 days 00:00:00.004987
3817,2026-08-24 12:33:33.321875-07:00,2026-08-24 12:33:33.330851-07:00,0 days 00:00:00.008976
3939,2026-08-24 12:33:37.393401-07:00,2026-08-24 12:33:37.418334-07:00,0 days 00:00:00.024933
3951,2026-08-24 12:33:37.794325-07:00,2026-08-24 12:33:37.807290-07:00,0 days 00:00:00.012965
4089,2026-08-24 12:33:42.398700-07:00,2026-08-24 12:33:42.420637-07:00,0 days 00:00:00.021937
4273,2026-08-24 12:33:48.553926-07:00,2026-08-24 12:33:48.561904-07:00,0 days 00:00:00.007978
4683,2026-08-24 12:34:02.218354-07:00,2026-08-24 12:34:02.220348-07:00,0 days 00:00:00.001994
5005,2026-08-24 12:34:12.964007-07:00,2026-08-24 12:34:12.955031-07:00,0 days 00:00:00.008976
5243,2026-08-24 12:34:20.910218-07:00,2026-08-24 12:34:20.905231-07:00,0 days 00:00:00.004987
5691,2026-08-24 12:34:35.853947-07:00,2026-08-24 12:34:35.867910-07:00,0 days 00:00:00.013963
5982,2026-08-24 12:34:45.562833-07:00,2026-08-24 12:34:45.583777-07:00,0 days 00:00:00.020944
6251,2026-08-24 12:34:54.538692-07:00,2026-08-24 12:34:54.537694-07:00,0 days 00:00:00.000998
