frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform,SI with marker Transform
548,2026-08-26 15:14:27.626273-07:00,2026-08-26 15:14:27.627271-07:00,0 days 00:00:00.000998,"[[-0.95323528  0.09674387 -0.28632696  0.05493   ]
 [-0.18262735 -0.93923861  0.29065114  0.09277   ]
 [-0.24081062  0.32935006  0.91298345 -1.6995    ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
549,2026-08-26 15:14:27.654198-07:00,2026-08-26 15:14:27.627271-07:00,0 days 00:00:00.026927,"[[-0.95323528  0.09674387 -0.28632696  0.05493   ]
 [-0.18262735 -0.93923861  0.29065114  0.09277   ]
 [-0.24081062  0.32935006  0.91298345 -1.6995    ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
550,2026-08-26 15:14:27.687109-07:00,2026-08-26 15:14:27.687109-07:00,0 days 00:00:00,"[[-0.95351131  0.09666493 -0.28543314  0.05494   ]
 [-0.1819654  -0.93968034  0.28963676  0.09276   ]
 [-0.2402182   0.32811088  0.9135855  -1.69952   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
551,2026-08-26 15:14:27.720021-07:00,2026-08-26 15:14:27.746949-07:00,0 days 00:00:00.026928,"[[-0.95364259  0.09693153 -0.28490366  0.05492   ]
 [-0.18209874 -0.93958631  0.28985792  0.09276   ]
 [-0.23959521  0.32830145  0.91368063 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
552,2026-08-26 15:14:27.752933-07:00,2026-08-26 15:14:27.746949-07:00,0 days 00:00:00.005984,"[[-0.95364259  0.09693153 -0.28490366  0.05492   ]
 [-0.18209874 -0.93958631  0.28985792  0.09276   ]
 [-0.23959521  0.32830145  0.91368063 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
553,2026-08-26 15:14:27.786876-07:00,2026-08-26 15:14:27.791829-07:00,0 days 00:00:00.004953,"[[-0.95339812  0.09693261 -0.2857203   0.05494   ]
 [-0.18246198 -0.93943028  0.29013509  0.09277   ]
 [-0.24029075  0.32874734  0.91333758 -1.69949   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
554,2026-08-26 15:14:27.819755-07:00,2026-08-26 15:14:27.791829-07:00,0 days 00:00:00.027926,"[[-0.95339812  0.09693261 -0.2857203   0.05494   ]
 [-0.18246198 -0.93943028  0.29013509  0.09277   ]
 [-0.24029075  0.32874734  0.91333758 -1.69949   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
555,2026-08-26 15:14:27.853693-07:00,2026-08-26 15:14:27.851691-07:00,0 days 00:00:00.002002,"[[-0.95348192  0.09688868 -0.28545546  0.05493   ]
 [-0.18213674 -0.93971402  0.28941972  0.09277   ]
 [-0.240205    0.3279484   0.91364731 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
556,2026-08-26 15:14:27.886598-07:00,2026-08-26 15:14:27.911540-07:00,0 days 00:00:00.024942,"[[-0.95329419  0.09683386 -0.28610032  0.05493   ]
 [-0.18253679 -0.93937201  0.29027668  0.09276   ]
 [-0.24064602  0.3289429   0.91317362 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
557,2026-08-26 15:14:27.920485-07:00,2026-08-26 15:14:27.911540-07:00,0 days 00:00:00.008945,"[[-0.95329419  0.09683386 -0.28610032  0.05493   ]
 [-0.18253679 -0.93937201  0.29027668  0.09276   ]
 [-0.24064602  0.3289429   0.91317362 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
558,2026-08-26 15:14:27.958384-07:00,2026-08-26 15:14:27.971349-07:00,0 days 00:00:00.012965,"[[-0.95363795  0.09684626 -0.28494817  0.05493   ]
 [-0.18218331 -0.93938997  0.29044059  0.09277   ]
 [-0.23954936  0.32888797  0.91348169 -1.69953   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
559,2026-08-26 15:14:27.989302-07:00,2026-08-26 15:14:27.971349-07:00,0 days 00:00:00.017953,"[[-0.95363795  0.09684626 -0.28494817  0.05493   ]
 [-0.18218331 -0.93938997  0.29044059  0.09277   ]
 [-0.23954936  0.32888797  0.91348169 -1.69953   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
560,2026-08-26 15:14:28.019222-07:00,2026-08-26 15:14:28.031189-07:00,0 days 00:00:00.011967,"[[-0.9534246   0.09676892 -0.28568742  0.05494   ]
 [-0.1822483  -0.93951955  0.28998029  0.09276   ]
 [-0.24034784  0.32854039  0.91339703 -1.69953   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
561,2026-08-26 15:14:28.053131-07:00,2026-08-26 15:14:28.031189-07:00,0 days 00:00:00.021942,"[[-0.9534246   0.09676892 -0.28568742  0.05494   ]
 [-0.1822483  -0.93951955  0.28998029  0.09276   ]
 [-0.24034784  0.32854039  0.91339703 -1.69953   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
562,2026-08-26 15:14:28.088076-07:00,2026-08-26 15:14:28.091051-07:00,0 days 00:00:00.002975,"[[-0.95361356  0.0967934  -0.28504773  0.05493   ]
 [-0.18186957 -0.93979986  0.28930897  0.09277   ]
 [-0.23988462  0.32773047  0.91380967 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
563,2026-08-26 15:14:28.119973-07:00,2026-08-26 15:14:28.091051-07:00,0 days 00:00:00.028922,"[[-0.95361356  0.0967934  -0.28504773  0.05493   ]
 [-0.18186957 -0.93979986  0.28930897  0.09277   ]
 [-0.23988462  0.32773047  0.91380967 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
564,2026-08-26 15:14:28.154858-07:00,2026-08-26 15:14:28.150898-07:00,0 days 00:00:00.003960,"[[-0.95342926  0.09685442 -0.28564289  0.05493   ]
 [-0.18216347 -0.93971564  0.28939762  0.09276   ]
 [-0.24039365  0.32795386  0.91359573 -1.69952   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
565,2026-08-26 15:14:28.187771-07:00,2026-08-26 15:14:28.210709-07:00,0 days 00:00:00.022938,"[[-0.95337043  0.09676465 -0.28586958  0.05493   ]
 [-0.18225388 -0.93958266  0.28977224  0.09277   ]
 [-0.24055839  0.32836113  0.91340606 -1.69953   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
566,2026-08-26 15:14:28.220681-07:00,2026-08-26 15:14:28.210709-07:00,0 days 00:00:00.009972,"[[-0.95337043  0.09676465 -0.28586958  0.05493   ]
 [-0.18225388 -0.93958266  0.28977224  0.09277   ]
 [-0.24055839  0.32836113  0.91340606 -1.69953   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
567,2026-08-26 15:14:28.254592-07:00,2026-08-26 15:14:28.256588-07:00,0 days 00:00:00.001996,"[[-0.95329605  0.09661809 -0.28616705  0.05493   ]
 [-0.18200861 -0.93987092  0.28899051  0.09276   ]
 [-0.24103838  0.32757838  0.91356057 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
568,2026-08-26 15:14:28.288528-07:00,2026-08-26 15:14:28.315450-07:00,0 days 00:00:00.026922,"[[-0.95358858  0.09692721 -0.28508584  0.05493   ]
 [-0.1821044  -0.93964937  0.28964988  0.09276   ]
 [-0.23980578  0.3281222   0.91368978 -1.69951   ]
 [ 0.          0.          0.          1.        ]]","[[ 0.33702  0.35794  0.8708  -0.20469]
 [-0.06667 -0.91352  0.4013   0.91393]
 [ 0.93913 -0.1933  -0.28401  0.42145]
 [ 0.       0.       0.       1.     ]]","[[ 0.33702     0.35794     0.8708     -0.19982403]
 [-0.06667    -0.91352     0.4013      0.91870304]
 [ 0.93913    -0.1933     -0.28401     0.40790382]
 [ 0.          0.          0.          1.        ]]"
