timestamp,Transform 1,Transform 2
2026-07-18 20:49:42.994263-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.008080-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.026695-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57156111e-01  5.15041736e-01 -3.92585656e-03 -9.15400000e+01]
 [-5.12973390e-01  8.52979412e-01 -9.63557145e-02  1.09100000e+01]
 [-4.62785396e-02  8.46057495e-02  9.95339221e-01 -2.19179000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.038410-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.060017-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.072113-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.092910-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.56943060e-01  5.15400159e-01 -3.35670577e-03 -9.15400000e+01]
 [-5.13380230e-01  8.52970795e-01 -9.42420428e-02  1.09100000e+01]
 [-4.57091919e-02  8.24833310e-02  9.95543655e-01 -2.19180000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.104591-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.125999-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.137176-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57161524e-01  5.15030264e-01 -4.23657416e-03 -9.15500000e+01]
 [-5.13039625e-01  8.53065101e-01 -9.52380000e-02  1.09100000e+01]
 [-4.54363787e-02  8.38078796e-02  9.95445516e-01 -2.19180000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.159081-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.171598-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.192133-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.203386-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57063648e-01  5.15192607e-01 -4.29903830e-03 -9.15500000e+01]
 [-5.13197812e-01  8.52948858e-01 -9.54266764e-02  1.09000000e+01]
 [-4.54962584e-02  8.39929924e-02  9.95427179e-01 -2.19182000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.228252-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.244116-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.252687-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.274594-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.286409-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.310181-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.318840-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57143324e-01  5.15067510e-01 -3.28352582e-03 -9.15400000e+01]
 [-5.12877693e-01  8.52875881e-01 -9.77711818e-02  1.09100000e+01]
 [-4.75583192e-02  8.54879630e-02  9.95203504e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.340734-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.351937-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.372869-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57161529e-01  5.15030521e-01 -4.20416030e-03 -9.15500000e+01]
 [-5.13008376e-01  8.53013540e-01 -9.58660891e-02  1.09100000e+01]
 [-4.57877562e-02  8.43294930e-02  9.95385362e-01 -2.19177000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.389080-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.409600-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.422648-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57164187e-01  5.15024943e-01 -4.34331674e-03 -9.15500000e+01]
 [-5.13025779e-01  8.53030553e-01 -9.56212621e-02  1.09100000e+01]
 [-4.55423532e-02  8.41913549e-02  9.95408313e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.443577-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.454711-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.475745-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.487789-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57161523e-01  5.15030795e-01 -4.17174756e-03 -9.15500000e+01]
 [-5.12976907e-01  8.52961651e-01 -9.64941210e-02  1.09000000e+01]
 [-4.61391032e-02  8.48510579e-02  9.95324812e-01 -2.19180000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.509369-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.520882-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
